Codigo,Nombre
21,ACCIDENTE DE TRABAJO
22,ACCIDENTE EN EL HOGAR
23,ACCIDENTE DE TRANSITO DE ORIGEN COMUN
24,ACCIDENTE DE TRANSITO DE ORIGEN LABORAL
25,ACCIDENTE EN EL ENTORNO EDUCATIVO
26,OTRO TIPO DE ACCIDENTE
27,EVENTO CATASTROFICO DE ORIGEN NATURAL
28,LESION POR AGRESION
29,LESION AUTO INFLIGIDA
30,SOSPECHA DE VIOLENCIA FISICA
31,SOSPECHA DE VIOLENCIA PSICOLOGICA
32,SOSPECHA DE VIOLENCIA SEXUAL
33,SOSPECHA DE NEGLIGENCIA Y ABANDONO
34,IVE RELACIONADO CON PELIGRO A LA SALUD O  VIDA DE LA MUJER
35,IVE POR MALFORMACION CONGENITA  INCOMPATIBLE CON LA VIDA
36,IVE POR VIOLENCIA SEXUAL, INCESTO O POR INSEMINACION ARTIFICIAL O  TRANSFERENCIA DE OVULO FECUNDADO NO CONSENTIDA
37,EVENTO ADVERSO EN SALUD
38,ENFERMEDAD GENERAL
39,ENFERMEDAD LABORAL
40,PROMOCION Y MANTENIMIENTO DE LA SALUD ? INTERVENCIONES INDIVIDUALES
41,INTERVENCION COLECTIVA
42,ATENCION DE POBLACION MATERNO PERINATAL
43,RIESGO AMBIENTAL
44,OTROS EVENTOS CATASTROFICOS
45,ACCIDENTE DE MINA ANTIPERSONAL ? MAP
46,ACCIDENTE DE ARTEFACTO EXPLOSIVO IMPROVISADO ? AEI
47,ACCIDENTE DE MUNICION SIN EXPLOTAR- MUSE
48,OTRA VICTIMA DE CONFLICTO ARMADO COLOMBIANO
49,IVE POR DECISION O MANIFESTACION DE VOLUNTAD DE LA PERSONA GESTANTE HASTA LA SEMANA 24 DE GESTACION
