COMPONENTE,PROGRAMA,"CODIGO
CUPS ACTUALES ","CODIGO
CUPS NUEVOS ",ACTIVIDAD,FINALIDAD,DIAGNOSTICOS ,DESCRIPCIÓN FRECUENCIA,POBLACIÓN GRUPO ETAREO
PROTECCION ESPECIFICA,SALUD ORAL,997310,997002,PROFILAXIS Y CONTROL PLACA BACTERIANA (1-19 AÑOS Y 20 Y MÀS AÑOS),14,"K021, K003, K050, K051, K052, K053",1 A 17 AÑOS (2 en el año),"1 A 17 AÑOS
"
PROTECCION ESPECIFICA,SALUD ORAL,997310,997002,,14,"K021, K003, K050, K051, K052, K053",18 A 28 AÑOS ( 1 al año),18 A 28 AÑOS
PROTECCION ESPECIFICA,SALUD ORAL,997310,997002,,14,"K021, K003, K050, K051, K052, K053",MAYORES 29 AÑOS (1 en 2 años),MAYORES 29 AÑOS
PROTECCION ESPECIFICA,SALUD ORAL,997103, 997106,APLICACIÓN FLUOR TOPICO  EN GEL ó BARNIZ (1 A 17  AÑOS),14,"K021, K003",1 A 17  AÑOS (2 veces al año),1 A 17 AÑOS
PROTECCION ESPECIFICA,SALUD ORAL,997102,997107,APLICACIÓN SELLANTES (3 A 15 AÑOS) FOTOCURADO,14,Z012,3 A 15 AÑOS ( hasta 16 en el año),3 A 15 AÑOS
PROTECCION ESPECIFICA,SALUD ORAL,997301,997301,DETARTRAJE SUPRAGINGIVAL POR CUADRANTE (12 AÑOS Y MAS),14,"K051, K051",12 AÑOS Y MAS  (4 al año),12 AÑOS O MAS
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,890201.8903,890201.8903,CONSULTA POR MEDICINA GENERAL,11,Z001-Z002,"MENORES DE 1 AÑO
(2 en el año) 1 mes , 4 a meses",MENORES DE 1 AÑO 
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,890201.8903,890201.8903,CONSULTA POR MEDICINA GENERAL,11,Z001-Z002,"1 A 5 AÑOS
(1 en el año) 12 a 18 meses; 24 a 29 meses, 3 años, 5 años",1 a 5 años
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,890205.8903,890205.8903,CONSULTA DE CONTROL O SEGUIMIENTO DE PROGRAMA POR ENFERMERA,11,Z001-Z002,"MENORES DE 1 AÑO
(3 en el año)2 a 3 meses; 6 a 8 meses y 9 a 11 meses",menores 1 año
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,890205.8903,890205.8903,CONSULTA DE CONTROL O SEGUIMIENTO DE PROGRAMA POR ENFERMERA,11,Z001-Z002,"1 A 5 AÑOS
(1 en el año)18 a 23 meses, 30 a 35 meses y 4 años",1 a 5 años
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,890203,890203,CONSULTA POR ODONTOLOGIA GENERAL ,11,Z001-Z002,6 Meses a 5 años ( 1 vez al año),6 meses a 5 años
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,902213,902213,HEMOGLOBINA ,12,Z001-Z002,6 a 23 meses,6 a 23 meses
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,"990213,I10605,890305",890305,"ATENCION EN SALUD PARA LA PROMOCION Y APOYO A LA LACTANCIA MATERNA, Atención por profesional de enfermería, medicina general, nutrición o auxiliar de enfermería para la promoción y apoyo de la lactancia materna",20,Z391,MENOR A 1 MES DE NACIDO,MENOR A 1 MES
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,,890208,CONSULTA DE PRIMERA VEZ POR PSICOLOGIA,21,,,
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,990204,"990201,990203,990204",EDUCACION INDIVIDUAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN 1 INFANCIA,9901,"990101,990103,990104",EDUCACION FAMILIAR - GRUPAL ,Ver finalidades al final,Z718,0 A 5 AÑOS, 0 a 5 años 
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN  INFANCIA,890201.8903,890201.8903,CONSULTA POR MEDICINA GENERAL,11,Z001 -Z002,"6 A 11 AÑOS (1 en 2 años) 6 , 8 y 10 años",6 A 11 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN  INFANCIA,890205.8903,890205.8903,CONSULTA DE CONTROL O SEGUIMIENTO DE PROGRAMA POR ENFERMERA,11,Z001 -Z002,"6 A 11 AÑOS (1 en 2 años) 7, 9 y 11 años",6 A 11 AÑOS
DETECCION TEMPRANA,ALTERACIONES DEL MENOR EN  INFANCIA,890203,890203,CONSULTA POR ODONTOLOGIA GENERAL ,11,Z001 -Z002,6 A 11 AÑOS (1 en el año),6 A 11 AÑOS
