;;;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;OTROS CRITERIOS;FUENTE;FUENTE;POBLACION;POBLACION;
Código Indicador;Nombre indicador;Definición operacional Indicador;Tablero;Curso Vida;Tipo de actividad evaluada;Tipo de actividad evaluada (especifica);Nivel de medición;Genero;núm;den;núm.;den;
RPYMS;Cumplimiento General de la Gestion integral del Riesgo;Cumplimiento General de la metodologia de evaluacion para la geston integral del riesgo en salud;NA;Todos;General;Cumplimiento General de la RPYMS;IPS;Ambos;Indicadores GIRS (RPYMS y Salud publica y Otros procesos);Indicadores GIRS (RPYMS y Salud publica y Otros procesos);indicadores objeto evaluacion;indicadores objeto evaluacion;
RPYMS41X;Cobertura de niñas y niños con atención por medicina general o especializada en pediatría o medicina familiar de acuerdo al esquema definido para el menor de un año;Proporción de niños menores de 1 año que cumplen con la valoración integral por medicina general, familiar o pediatría según el esquema definido;RPYMS;Primera Infancia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS:
* CUPS Finalidad 4 o CIE-10 Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);" 2 a 11 meses
Registro de consultas según esquema del menor de 1 año";"Población al mes a evaluar activos y nuevos 
 2 a 11 meses";
RPYMS42X;Cobertura de niñas y niños con atención en salud por medicina general o especializada en pediatría o medicina familiar de acuerdo al esquema definido para la edad de 1 a 5 años;Proporción de niños  de 1 a 5 años que cumplen con la valoración integral por medicina general, familiar o pediatría según el esquema definido;RPYMS;Primera Infancia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS:
* CUPS Finalidad 4 o CIE-10 Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"18 meses a  5 años y 11 meses 
Registro de consultas según esquema
Todo lo que cumpla en el numerador debe estar incluido en denominador";"Población al mes a evaluar activos y nuevos
18 meses a 5 años y 11 meses";
RPYMS43X;Cobertura de niñas y niños con atención en salud por profesional de enfermería de acuerdo al esquema definido para el menor de un año;Proporción de niños menores de 1 año que cumplen con la valoración integral por enfermería según el esquema definido;RPYMS;Primera Infancia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS: CUPS:
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"4 a 12 meses
Registro de consultas según esquema del menor de 1 año";"Población actual al mes a evaluar activos y nuevos
4 a 12 meses";
RPYMS44X;Cobertura de niñas y niños con atención en salud por profesional de enfermería de acuerdo al esquema definido para la edad de 1 a 5 años;Proporción de niños  de 1 a 5 años que cumplen con la valoración integral por enfermería según el esquema definido;RPYMS;Primera Infancia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS: CUPS:
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"2 a 5 años
Registro de consultas según esquema
Todo lo que cumpla en el numerador debe estar incluido en denominador";"Población actual al mes a evaluar activos y nuevos
2 a 5 años";
RPYMS70X;Cumplimiento en la consulta de primera infancia en el año vigente;Niños  de 0 a 5 años que cumplen con la valoración integral por medicina general, familiar o pediatría o enfermería según el esquema definido para el curso de vida en el año vigente.;RPYMS;Primera Infancia;Consultas;Valoración integral;IPS;Ambos;"1- RIPS 
* CUPS: MEDICINA con finalidad 4 o con CIE-10 Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)

* CUPS: ENFERMERIA
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"0 a 5 años
Registro de consultas según esquema
Año vigente
Todo lo que cumpla en el numerador debe estar incluido en denominador";"Población al mes a evaluar activos y nuevos

0 a 5 años

Dividido en 12 y multiplicado por mes a evaluar";
RPYMS72X;Cumplimiento en la atención en salud por profesional de medicina general, familiar o pediatria de primera infancia en el año;Proporción de niños  de 0 a 5 años que cumplen con la valoración integral por medicina general, familiar o pediatría según el esquema definido para el curso de vida en el año.;RPYMS;Primera Infancia;Consultas;Valoración medicina;IPS;Ambos;"1- RIPS 
* CUPS: MEDICINA con finalidad 4 o con CIE-10 Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)

* Res 2275 - CUPS con finalidad 11 o CIE-10: Z001
890201 (consulta de primera vez por medicina general)
890301 (Consulta de control o seguimiento por medicina general)
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)
890263 (consulta de primera vez por especialista en medicina familiar)
890363 (Consulta de control o seguimiento por especialista en medicina familiar)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);" 0-1 mes, 4-5 meses, 12-17 meses, 24-29 meses, 36-47 meses, 60-71 meses
Registro de consultas según esquema
Año vigente";"Población actual al mes a evaluar activos y nuevos
 0-1 mes, 4-5 meses, 12-17 meses, 24-29 meses, 36-47 meses, 60-71 meses

Dividido en 12 y multiplicado por mes a evaluar";
RPYMS73X;Cumplimiento en la atención en salud por profesional de enfermería de primera infancia en el año;Proporción de niños  de 0 a 5 años que cumplen con la valoración integral por enfermería según el esquema definido para el curso de vida en el año.;RPYMS;Primera Infancia;Consultas;Valoración enfermería;IPS;Ambos;"1- RIPS 

* CUPS: ENFERMERIA
890205 (Consulta de primera vez por enfermería)
890305 (Consulta de control o de seguimiento por enfermería)";BASE DE DATOS DE AFILIACIONES (CIERRE MES);"2-3 meses, 6-11 meses, 18-23 meses, 30-35 meses, 48-59 meses
Registro de consultas según esquema
Año vigente";"Población actual al mes a evaluar activos y nuevos
2-3 meses, 6-11 meses, 18-23 meses, 30-35 meses, 48-59 meses

Dividido en 12 y multiplicado por mes a evaluar";
RPYMS235X;Proporción de niñas y niños en primera infancia clasificados con riesgo o sospecha de problemas en el desarrollo, (EAD), con seguimiento por pediatría;Proporción de niños que presentan alteración en la escala abreviada del desarrollo y fueron valorados por pediatría;RPYMS;Primera Infancia;Consultas;Seguimiento EAD;IPS;Ambos;"*RIPS
890283 (consulta de primera vez por especialista en pediatría)
890383 (Consulta de control o seguimiento por especialista en pediatría)";* Resolución 202- variables: 43-44-45 y 46, con resultado de respuesta en opciones 3-4;"Población del denominador  
con valoración por pediatría y EAD alterada
";"Población al mes a evaluar activos y nuevos
0 a 5 años";
