CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,144,155,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS47X / RPYMS79X / RPYMS111X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,168,179,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS47X / RPYMS79X / RPYMS111X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,192,203,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS47X / RPYMS79X / RPYMS111X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,144,155,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS47X / RPYMS79X / RPYMS111X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,168,179,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS47X / RPYMS79X / RPYMS111X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,192,203,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS47X / RPYMS79X / RPYMS111X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,156,167,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS48X / RPYMS79X / RPYMS112X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,180,191,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS48X / RPYMS79X / RPYMS112X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,204,215,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS48X / RPYMS79X / RPYMS112X,"Res 2275/2023, Res 3280/2018"
890305,CONSULTA DE CONTROL O SEGUIMIENTO POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z003,156,167,A,DETECCION TEMPRANA ALTERACIONES ADOLESCENCIA,RPYMS48X / RPYMS79X / RPYMS112X,"Res 2275/2023, Res 3280/2018"
