CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
990201,EDUCACION INDIVIDUAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,32,PROMOCION DE LA ALIMENTACION SALUDABLE,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,0,71,A,EDUCACION INDIVIDUAL PRIMERA INFANCIA,RPYMS389AX,"Res 2275/2023, Res 3280/2018"
990201,EDUCACION INDIVIDUAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,32,PROMOCION DE LA ALIMENTACION SALUDABLE,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,72,143,A,EDUCACION INDIVIDUAL INFANCIA,RPYMS389BX,"Res 2275/2023, Res 3280/2018"
990201,EDUCACION INDIVIDUAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,34,PROMOCION PARA EL DESARROLLO DE HABILIDADES PARA LA VIDA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,144,215,A,EDUCACION INDIVIDUAL ADOLESCENCIA,RPYMS389CX,"Res 2275/2023, Res 3280/2018"
990201,EDUCACION INDIVIDUAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,40,PROMOCION DE LA CAPACIDAD DE LA AGENCIA Y CUIDADO DE LA SALUD,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,216,335,A,EDUCACION INDIVIDUAL JUVENTUD,RPYMS389DX,"Res 2275/2023, Res 3280/2018"
990201,EDUCACION INDIVIDUAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,40,PROMOCION DE LA CAPACIDAD DE LA AGENCIA Y CUIDADO DE LA SALUD,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,336,719,A,EDUCACION INDIVIDUAL ADULTEZ,RPYMS389EX,"Res 2275/2023, Res 3280/2018"
990201,EDUCACION INDIVIDUAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,40,PROMOCION DE LA CAPACIDAD DE LA AGENCIA Y CUIDADO DE LA SALUD,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,720,9999,A,EDUCACION INDIVIDUAL VEJEZ,RPYMS389FX,"Res 2275/2023, Res 3280/2018"
990204,EDUCACION INDIVIDUAL EN SALUD POR ENFERMERIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,32,PROMOCION DE LA ALIMENTACION SALUDABLE,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,0,71,A,EDUCACION INDIVIDUAL ENFERMERIA PRIMERA INFANCIA,RPYMS389AX,"Res 2275/2023, Res 3280/2018"
990204,EDUCACION INDIVIDUAL EN SALUD POR ENFERMERIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,40,PROMOCION DE LA CAPACIDAD DE LA AGENCIA Y CUIDADO DE LA SALUD,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,72,9999,A,EDUCACION INDIVIDUAL ENFERMERIA RESTO CICLOS,RPYMS389X,"Res 2275/2023, Res 3280/2018"
990101,EDUCACION GRUPAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,0,9999,A,EDUCACION GRUPAL TODOS LOS CURSOS,RPYMS389X,"Res 2275/2023, Res 3280/2018"
990104,EDUCACION GRUPAL EN SALUD POR ENFERMERIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,0,9999,A,EDUCACION GRUPAL TODOS LOS CURSOS,RPYMS389X,"Res 2275/2023, Res 3280/2018"
990103,EDUCACION GRUPAL EN SALUD POR ODONTOLOGIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,0,9999,A,EDUCACION GRUPAL ODONTOLOGIA TODOS LOS CURSOS,RPYMS389X,"Res 2275/2023, Res 3280/2018"
990203,EDUCACION INDIVIDUAL EN SALUD POR ODONTOLOGIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,40,PROMOCION DE LA CAPACIDAD DE LA AGENCIA Y CUIDADO DE LA SALUD,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z718,0,9999,A,EDUCACION INDIVIDUAL ODONTOLOGIA TODOS LOS CURSOS,RPYMS389X,"Res 2275/2023, Res 3280/2018"
