CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,42,ATENCION DE POBLACION MATERNO PERINATAL,Z011,144,587,F,SALUD ORAL GESTANTES,RPYMS372X,"Res 2275/2023, Res 3280/2018"
890303,CONSULTA DE CONTROL O SEGUIMIENTO POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,42,ATENCION DE POBLACION MATERNO PERINATAL,Z011,144,587,F,SALUD ORAL GESTANTES,RPYMS372X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,42,ATENCION DE POBLACION MATERNO PERINATAL,Z300,144,587,F,ASESORIA PNF GESTANTES 26 SEMANAS O MAS,RPYMS184X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,42,ATENCION DE POBLACION MATERNO PERINATAL,Z300,144,587,F,ASESORIA PNF GESTANTES 26 SEMANAS O MAS,RPYMS184X,"Res 2275/2023, Res 3280/2018"
993510,VACUNACION CONTRA INFLUENZA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,14,PROTECCION ESPECIFICA,42,ATENCION DE POBLACION MATERNO PERINATAL,Z279,144,587,F,INFLUENZA EN GESTANTES DE 14 SEMANAS O MAS,RPYMS314X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993120,VACUNACION TD TETANOS DIFTERIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,14,PROTECCION ESPECIFICA,42,ATENCION DE POBLACION MATERNO PERINATAL,Z279,144,587,F,TD EN GESTANTES,RPYMS91X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
906249,VIRUS INMUNODEFICIENCIA HUMANA VIH ANTICUERPOS,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,42,ATENCION DE POBLACION MATERNO PERINATAL,Z114,144,587,F,TAMIZAJE VIH GESTANTES,RPYMS346X,"Res 2275/2023, Res 3280/2018"
906915,PRUEBA NO TREPONEMICA SIFILIS,LABORATORIO,MATERNO PERINATAL,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,42,ATENCION DE POBLACION MATERNO PERINATAL,Z113,144,587,F,TAMIZAJE SIFILIS GESTANTES,RPYMS348X,"Res 2275/2023, Res 3280/2018"
904508,BHCG PRUEBA EMBARAZO,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,42,ATENCION DE POBLACION MATERNO PERINATAL,Z320,144,587,F,PRUEBA EMBARAZO GESTANTES,RPYMS (RMP),"Res 2275/2023, Res 3280/2018"
890305,CONSULTA DE CONTROL O SEGUIMIENTO POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,20,PROMOCION Y APOYO A LA LACTANCIA MATERNA,42,ATENCION DE POBLACION MATERNO PERINATAL,Z391,144,587,F,LACTANCIA MATERNA GESTANTES Y PUERPERAS,RPYMS (Lactancia),"Res 2275/2023, Res 3280/2018"
