CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,72,83,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS45X / RPYMS78X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,96,107,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS45X / RPYMS78X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,120,131,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS45X / RPYMS78X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,72,83,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS45X / RPYMS78X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,96,107,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS45X / RPYMS78X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,120,131,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS45X / RPYMS78X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,84,95,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS46X / RPYMS85X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,108,119,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS46X / RPYMS85X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,132,143,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS46X / RPYMS85X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890305,CONSULTA DE CONTROL O SEGUIMIENTO POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,84,95,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS46X / RPYMS85X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890305,CONSULTA DE CONTROL O SEGUIMIENTO POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,108,119,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS46X / RPYMS85X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890305,CONSULTA DE CONTROL O SEGUIMIENTO POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,132,143,A,DETECCION TEMPRANA ALTERACIONES MENOR INFANCIA,RPYMS46X / RPYMS85X / RPYMS81X,"Res 2275/2023, Res 3280/2018"
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z011,72,143,A,DETECCION TEMPRANA SALUD ORAL INFANCIA,RPYMS22X / RPYMS24X,"Res 2275/2023, Res 3280/2018"
