CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
907106,UROANALISIS,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,216,335,A,TAMIZAJE CARDIOMETABOLICO JUVENTUD,RPYMS16X / RPYMS115X,"Res 2275/2023, Res 3280/2018"
907106,UROANALISIS,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,336,719,A,TAMIZAJE CARDIOMETABOLICO ADULTEZ,RPYMS17X / RPYMS116X,"Res 2275/2023, Res 3280/2018"
907106,UROANALISIS,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,720,9999,A,TAMIZAJE CARDIOMETABOLICO VEJEZ,RPYMS18X / RPYMS117X,"Res 2275/2023, Res 3280/2018"
903841,GLUCOSA EN SUERO LCR U OTRO FLUIDO,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,216,335,A,TAMIZAJE CARDIOMETABOLICO JUVENTUD,RPYMS16X / RPYMS115X,"Res 2275/2023, Res 3280/2018"
903841,GLUCOSA EN SUERO LCR U OTRO FLUIDO,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,336,719,A,TAMIZAJE CARDIOMETABOLICO ADULTEZ,RPYMS17X / RPYMS116X,"Res 2275/2023, Res 3280/2018"
903841,GLUCOSA EN SUERO LCR U OTRO FLUIDO,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,720,9999,A,TAMIZAJE CARDIOMETABOLICO VEJEZ,RPYMS18X / RPYMS117X,"Res 2275/2023, Res 3280/2018"
903895,CREATININA EN SUERO U OTROS FLUIDOS,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,216,335,A,TAMIZAJE CARDIOMETABOLICO JUVENTUD,RPYMS16X / RPYMS115X,"Res 2275/2023, Res 3280/2018"
903895,CREATININA EN SUERO U OTROS FLUIDOS,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,336,719,A,TAMIZAJE CARDIOMETABOLICO ADULTEZ,RPYMS17X / RPYMS116X,"Res 2275/2023, Res 3280/2018"
903895,CREATININA EN SUERO U OTROS FLUIDOS,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,720,9999,A,TAMIZAJE CARDIOMETABOLICO VEJEZ,RPYMS18X / RPYMS117X,"Res 2275/2023, Res 3280/2018"
903815,COLESTEROL DE ALTA DENSIDAD HDL,LABORATORIO,MULTIRUTA,12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,216,335,A,TAMIZAJE CARDIOMETABOLICO JUVENTUD,RPYMS16X / RPYMS115X,"Res 2275/2023, Res 3280/2018"
