CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
993102,VACUNACION CONTRA TUBERCULOSIS BCG,PROMOCION Y MANTENIMIENTO DE LA SALUD,MATERNO PERINATAL,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,0,1,A,PAI - BCG RECIEN NACIDO,RPYMS272X / RPYMS589X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993122,VACUNACION DPT,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,0,71,A,PAI - DPT MENORES 5 AÑOS,RPYMS34X / RPYMS106X / RPYMS107X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993501,VACUNACION CONTRA POLIOMIELITIS VOP O IVP,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,0,71,A,PAI - POLIO MENORES 5 AÑOS,RPYMS34X / RPYMS289X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993502,VACUNACION CONTRA HEPATITIS A,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,12,23,A,PAI - HEPATITIS A 12-23 MESES,RPYMS285X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993504,VACUNACION CONTRA FIEBRE AMARILLA,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,12,23,A,PAI - FIEBRE AMARILLA 12-23 MESES,RPYMS288X / RPYMS623X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993504,VACUNACION CONTRA FIEBRE AMARILLA,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,12,119,A,PAI - FIEBRE AMARILLA 1 A 10 AÑOS,RPYMS295X / RPYMS621X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993509,VACUNACION CONTRA VARICELA,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,60,71,A,PAI - VARICELA REFUERZO 60-71 MESES,RPYMS292X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993510,VACUNACION CONTRA INFLUENZA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,6,23,A,PAI - INFLUENZA MENORES 6-23 MESES,RPYMS309X / RPYMS310X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993510,VACUNACION CONTRA INFLUENZA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,720,9999,A,PAI - INFLUENZA MAYORES 60 AÑOS,RPYMS93X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993512,VACUNACION CONTRA ROTAVIRUS,PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,0,11,A,PAI - ROTAVIRUS MENORES 1 AÑO,RPYMS34X / RPYMS106X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993513,VACUNACION CONTRA VPH,PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,108,215,F,PAI - VPH MUJERES 9 A 17 AÑOS,RPYMS90X / RPYMS390X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
993513,VACUNACION CONTRA VPH,PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD,14,PROTECCION ESPECIFICA,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z279,108,119,M,PAI - VPH NIÑOS 9 AÑOS,RPYMS384X / RPYMS383X,"Res 2275/2023, Res 3280/2018, Lineamiento PAI"
