CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z300,144,587,F,PLANIFICACION FAMILIAR MUJERES 12 A 49 AÑOS,RPYMS36X / RPYMS39X / RPYMS94X / RPYMS149X / RPYMS150X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z304,144,587,F,PLANIFICACION FAMILIAR MUJERES 12 A 49 AÑOS,RPYMS36X / RPYMS39X / RPYMS94X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z308,144,587,F,PLANIFICACION FAMILIAR MUJERES 12 A 49 AÑOS,RPYMS36X / RPYMS39X / RPYMS94X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z309,144,587,F,PLANIFICACION FAMILIAR MUJERES 12 A 49 AÑOS,RPYMS36X / RPYMS39X / RPYMS94X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z300,144,587,F,PLANIFICACION FAMILIAR MUJERES 12 A 49 AÑOS,RPYMS36X / RPYMS39X / RPYMS94X / RPYMS149X / RPYMS150X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z300,144,587,F,PLANIFICACION FAMILIAR ENFERMERIA MUJERES,RPYMS36X / RPYMS39X / RPYMS149X,"Res 2275/2023, Res 3280/2018"
890305,CONSULTA DE CONTROL O SEGUIMIENTO POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z300,144,587,F,PLANIFICACION FAMILIAR ENFERMERIA MUJERES,RPYMS36X / RPYMS39X / RPYMS149X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z300,144,719,M,PLANIFICACION FAMILIAR HOMBRES 12 A 59 AÑOS,RPYMS153X / RPYMS154X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z300,144,719,M,PLANIFICACION FAMILIAR HOMBRES 12 A 59 AÑOS,RPYMS153X / RPYMS154X,"Res 2275/2023, Res 3280/2018"
890205,CONSULTA DE PRIMERA VEZ POR ENFERMERIA,APOYO TERAPEUTICO,MULTIRUTA,19,PLANIFICACION FAMILIAR Y ANTICONCEPCION,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z300,144,719,M,PLANIFICACION FAMILIAR ENFERMERIA HOMBRES,RPYMS153X / RPYMS154X,"Res 2275/2023, Res 3280/2018"
