CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,0,1,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS41X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,4,5,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS41X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,12,17,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS42X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,24,29,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS42X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,36,47,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS42X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,60,71,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS42X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,0,1,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS41X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,4,5,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS41X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,12,17,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS42X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z001,24,29,A,DETECCION TEMPRANA ALTERACIONES MENOR PRIMERA INFANCIA,RPYMS42X / RPYMS70X / RPYMS72X,"Res 2275/2023, Res 3280/2018"
