CodigoCUPS,DescripcionCUPS,Grupo,Ruta
129B01,INTERNACIËN ADULTOS COMPLEJIDAD BAJA HABITACIËN INDIVIDUAL INCLUYE AISLAMIENTO(72337),INTERNACION BASICA,MATERNO PERINATAL
129B02,INTERNACIËN ADULTOS COMPLEJIDAD BAJA HABITACION M┌LTIPLE(72338),INTERNACION BASICA,MATERNO PERINATAL
130B01,INTERNACIËN PEDI┴TRICA COMPLEJIDAD BAJA HABITACIËN INDIVIDUAL INCLUYE AISLAMIENTO(72343),INTERNACION BASICA,MATERNO PERINATAL
130B02,INTERNACIËN PEDI┴TRICA COMPLEJIDAD BAJA HABITACION M┌LTIPLE,INTERNACION BASICA,MATERNO PERINATAL
230101,EXODONCIA DE DIENTE PERMANENTE UNIRRADICULAR +(960),ODONTOLOGIA,MORBILIDAD
230102,EXODONCIA DE DIENTE PERMANENTE MULTIRRADICULAR +(961),ODONTOLOGIA,MORBILIDAD
230103,EXODONCIA DE DIENTES PERMANENTES(29502),ODONTOLOGIA,MORBILIDAD
230201,EXODONCIA DE DIENTE TEMPORAL UNIRRADICULAR +(965),ODONTOLOGIA,MORBILIDAD
230202,EXODONCIA DE DIENTE TEMPORAL MULTIRRADICULAR +(966),ODONTOLOGIA,MORBILIDAD
230203,EXODONCIA DE DIENTES TEMPORALES(29385),ODONTOLOGIA,MORBILIDAD
231301,EXODONCIA DE INCLUIDO EN POSICION ECTOPICA CON ABORDAJE INTRAORAL +(970),ODONTOLOGIA,MORBILIDAD
231302,EXODONCIA DE INCLUIDO EN POSICION ECTOPICA CON ABORDAJE EXTRAORAL +(971),ODONTOLOGIA,MORBILIDAD
231303,EXODONCIA DE DIENTE INCLUIDO(29865),ODONTOLOGIA,MORBILIDAD
232101,OBTURACION DENTAL CON AMALGAMA +(976),ODONTOLOGIA,MORBILIDAD
232102,OBTURACION DENTAL CON RESINA DE FOTOCURADO +(977),ODONTOLOGIA,MORBILIDAD
232103,OBTURACION DENTAL CON IONOMERO DE VIDRIO +(978),ODONTOLOGIA,MORBILIDAD
232104,OBTURACION DENTAL(29866),ODONTOLOGIA,MORBILIDAD
232200,OBTURACION TEMPORAL POR DIENTE SOD(980),ODONTOLOGIA,MORBILIDAD
232401,RECONSTRUCCION DE ANGULO INCISAL, CON RESINA DE FOTOCURADO(985),ODONTOLOGIA,MORBILIDAD
237102,PULPOTOMIA(29386),ODONTOLOGIA,MORBILIDAD
237103,PULPECTOMIA(69660),ODONTOLOGIA,MORBILIDAD
237301,TERAPIA DE CONDUCTO RADICULAR EN DIENTE UNIRRADICULAR(1016),ODONTOLOGIA,MORBILIDAD
237302,TERAPIA DE CONDUCTO RADICULAR EN DIENTE BIRRADICULAR(1017),ODONTOLOGIA,MORBILIDAD
237303,TERAPIA DE CONDUCTO RADICULAR EN DIENTE MULTIRRADICULAR(1018),ODONTOLOGIA,MORBILIDAD
237304,TERAPIA DE CONDUCTO RADICULAR EN DIENTE TEMPORAL, UNIRRADICULAR(1019),ODONTOLOGIA,MORBILIDAD
237305,TERAPIA DE CONDUCTO RADICULAR EN DIENTE TEMPORAL MULTIRRADICULAR(1020),ODONTOLOGIA,MORBILIDAD
240200,DETARTRAJE SUBGINGIVAL SOD +(53941),PROMOCION Y MANTENIMIENTO DE LA SALUD,MORBILIDAD
240300,ALISADO RADICULAR, CAMPO CERRADO SOD(1033),ODONTOLOGIA,MORBILIDAD
240400,DRENAJE DE COLECCIËN PERIODONTAL (CERRADO CON ALISADO RADICULAR) SOD+(1035),ODONTOLOGIA,MORBILIDAD
5DSB01,DERECHOS DE SALA DE OBSERVACION EN URGENCIAS COMPLEJIDAD BAJA(57244),URGENCIAS CON OBSERVACION,MORBILIDAD
697101,INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO DIU(46524),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
861203,EXTRACCION DE ANTICONCEPTIVOS SUBDERMICOS POR INSICION(4607),PROMOCION Y MANTENIMIENTO DE LA SALUD,PYMS
861801,INSERCION DE ANTICONCEPTIVOS SUBDERMICOS(4613),PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA
869500,CURACION DE LESION EN PIEL O TEJIDO CELULAR SUBCUTANEO SOD +(4779),PROCEDIMIENTOS,MORBILIDAD
870001,RADIOGRAFIA DE CRANEO SIMPLE(4782),IMAGENOLOGIA,MORBILIDAD
870003,RADIOGRAFIA DE BASE DE CRANEO(4785),IMAGENOLOGIA,MORBILIDAD
870004,RADIOGRAFIA DE SILLA TURCA(4786),IMAGENOLOGIA,MORBILIDAD
870005,RADIOGRAFIA DE MASTOIDES COMPARATIVAS(4787),IMAGENOLOGIA,MORBILIDAD
870006,RADIOGRAFIA DE PEÐASCOS(4788),IMAGENOLOGIA,MORBILIDAD
870007,RADIOGRAFIA DE CONDUCTO AUDITIVO INTERNO(4789),IMAGENOLOGIA,MORBILIDAD
870101,RADIOGRAFIA DE CARA (PERFILOGRAMA) +(4790),IMAGENOLOGIA,MORBILIDAD
870102,RADIOGRAFIA DE ORBITAS(4791),IMAGENOLOGIA,MORBILIDAD
870103,RADIOGRAFIA DE AGUJEROS OPTICOS(4792),IMAGENOLOGIA,MORBILIDAD
870104,RADIOGRAFIA DE MALAR(4793),IMAGENOLOGIA,MORBILIDAD
870105,RADIOGRAFIA DE ARCO CIGOMATICO(4794),IMAGENOLOGIA,MORBILIDAD
870107,RADIOGRAFIA DE HUESOS NASALES(4795),IMAGENOLOGIA,MORBILIDAD
870108,RADIOGRAFIA DE SENOS PARANASALES(4796),IMAGENOLOGIA,MORBILIDAD
870112,RADIOGRAFIA DE MAXILAR SUPERIOR(4797),IMAGENOLOGIA,MORBILIDAD
870113,RADIOGRAFIA DE MAXILAR INFERIOR(4798),IMAGENOLOGIA,MORBILIDAD
870131,RADIOGRAFIA DE ARTICULACION TEMPOROMAXILAR (ATM)(4801),IMAGENOLOGIA,MORBILIDAD
870440,RADIOGRAFIAS INTRAORALES OCLUSALES(4810),ODONTOLOGIA,MORBILIDAD
870450,RADIOGRAFIAS INTRAORALES PERIAPICALES MILIMETRADAS(4812),ODONTOLOGIA,MORBILIDAD
870451,RADIOGRAFIAS INTRAORALES PERIAPICALES DIENTES ANTERIORES SUPERIORES(4813),ODONTOLOGIA,MORBILIDAD
870452,RADIOGRAFIAS INTRAORALES PERIAPICALES DIENTES ANTERIORES INFERIORES(4814),ODONTOLOGIA,MORBILIDAD
870453,RADIOGRAFIAS INTRAORALES PERIAPICALES ZONA DE CANINOS(4815),ODONTOLOGIA,MORBILIDAD
870454,RADIOGRAFIAS INTRAORALES PERIAPICALES PREMOLARES(4816),ODONTOLOGIA,MORBILIDAD
870455,RADIOGRAFIAS INTRAORALES PERIAPICALES MOLARES(4817),ODONTOLOGIA,MORBILIDAD
870456,RADIOGRAFIAS INTRAORALES PERIAPICALES JUEGO COMPLETO(4818),ODONTOLOGIA,MORBILIDAD
870460,RADIOGRAFIAS INTRAORALES CORONALES(4819),ODONTOLOGIA,MORBILIDAD
870601,RADIOGRAFIA DE TEJIDOS BLANDOS DE CUELLO(4820),IMAGENOLOGIA,MORBILIDAD
870602,RADIOGRAFIA DE CAVUM FARINGEO(4821),IMAGENOLOGIA,MORBILIDAD
870603,RADIOGRAFIA DE FARINGE [FARINGOGRAFIA] +(4822),IMAGENOLOGIA,MORBILIDAD
871010,RADIOGRAFIA DE COLUMNA CERVICAL(4823),IMAGENOLOGIA,MORBILIDAD
871019,RADIOGRAFIA DE COLUMNA UNION CERVICO DORSAL(4824),IMAGENOLOGIA,MORBILIDAD
871020,RADIOGRAFIA DE COLUMNA TORACCICA(4825),IMAGENOLOGIA,MORBILIDAD
871030,RADIOGRAFIA DE COLUMNA DORSOLUMBAR(4826),IMAGENOLOGIA,MORBILIDAD
871040,RADIOGRAFIA DE COLUMNA LUMBOSACRA(4827),IMAGENOLOGIA,MORBILIDAD
871050,RADIOGRAFIA DE SACRO COCCIX(4828),IMAGENOLOGIA,MORBILIDAD
871060,RADIOGRAFIA DE COLUMNA VERTEBRAL TOTAL(4830),IMAGENOLOGIA,MORBILIDAD
871061,RADIOGRAFIA PANORAMICA DE COLUMNA (GONIOMETRIA U ORTOGRAMA) FORMATO 14 X 36 (ADULTOS) +(4832),IMAGENOLOGIA,MORBILIDAD
871062,RADIOGRAFIA PANORAMICA DE COLUMNA (GONIOMETRIA U ORTOGRAMA) FORMATO 14" X 17" (NIÐOS)(4834),IMAGENOLOGIA,MORBILIDAD
871070,RADIOGRAFIA DINAMICA DE COLUMNA VERTEBRAL(4836),IMAGENOLOGIA,MORBILIDAD
871091,RADIOGRAFIA DE ARTICULACIONES SACROILIACAS(4837),IMAGENOLOGIA,MORBILIDAD
871111,RADIOGRAFIA DE REJA COSTAL(4838),IMAGENOLOGIA,MORBILIDAD
871112,RADIOGRAFIA DE ESTERNON(4839),IMAGENOLOGIA,MORBILIDAD
